Filename,PromptID,PromptType,Model,Category,Tags
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0452_TAG_Deepseek.md,452,TAG,Deepseek,Process Control,"ACT,ALM,FIC,SEN,TIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0453_TAG_Deepseek.md,453,TAG,Deepseek,Process Control,"ACT,ALM,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0459_TAG_Deepseek.md,459,TAG,Deepseek,Process Control,"ACT,FIC,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0454_TAG_Deepseek.md,454,TAG,Deepseek,Process Control,"ACT,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0455_TAG_Deepseek.md,455,TAG,Deepseek,Process Control,"ALM,FIC,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0495_TAG_Deepseek.md,495,TAG,Deepseek,Various Engineering Inputs,"ACT,ALM,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0500_TAG_Deepseek.md,500,TAG,Deepseek,Unknown,ACT
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0497_TAG_Deepseek.md,497,TAG,Deepseek,Various Engineering Inputs,"ACT,ALM,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0494_TAG_Deepseek.md,494,TAG,Deepseek,Various Engineering Inputs,"ACT,ALM,INTLK,LOGIC,RPT,SEN,TIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0499_TAG_Deepseek.md,499,TAG,Deepseek,Various Engineering Inputs,"RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0491_TAG_Deepseek.md,491,TAG,Deepseek,Various Engineering Inputs,ACT
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0498_TAG_Deepseek.md,498,TAG,Deepseek,Various Engineering Inputs,"ACT,ALM,FIC,INTLK,LOGIC,PIC,RPT,SEQ,TIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0496_TAG_Deepseek.md,496,TAG,Deepseek,Various Engineering Inputs,"ACT,PIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0492_TAG_Deepseek.md,492,TAG,Deepseek,Various Engineering Inputs,"ACT,FIC,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Various Engineering Inputs/Answer0493_TAG_Deepseek.md,493,TAG,Deepseek,Various Engineering Inputs,SEQ
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0413_TAG_Deepseek.md,413,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0420_TAG_Deepseek.md,420,TAG,Deepseek,Interlocks,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0411_TAG_Deepseek.md,411,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0416_TAG_Deepseek.md,416,TAG,Deepseek,Diagnostics and Communication,"ALM,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0418_TAG_Deepseek.md,418,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0417_TAG_Deepseek.md,417,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0415_TAG_Deepseek.md,415,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0414_TAG_Deepseek.md,414,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0419_TAG_Deepseek.md,419,TAG,Deepseek,Diagnostics and Communication,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Diagnostics and Communication/Answer0412_TAG_Deepseek.md,412,TAG,Deepseek,Diagnostics and Communication,"ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0443_TAG_Deepseek.md,443,TAG,Deepseek,PLC Programing Tasks,"LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0450_TAG_Deepseek.md,450,TAG,Deepseek,Process Control,"LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0448_TAG_Deepseek.md,448,TAG,Deepseek,PLC Programing Tasks,"ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0446_TAG_Deepseek.md,446,TAG,Deepseek,PLC Programing Tasks,"ALM,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0442_TAG_Deepseek.md,442,TAG,Deepseek,PLC Programing Tasks,"ACT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0447_TAG_Deepseek.md,447,TAG,Deepseek,PLC Programing Tasks,"ACT,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0444_TAG_Deepseek.md,444,TAG,Deepseek,PLC Programing Tasks,SEN
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0449_TAG_Deepseek.md,449,TAG,Deepseek,PLC Programing Tasks,"ACT,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0441_TAG_Deepseek.md,441,TAG,Deepseek,PLC Programing Tasks,"ACT,ALM,FIC,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/PLC Programing Tasks/Answer0445_TAG_Deepseek.md,445,TAG,Deepseek,PLC Programing Tasks,"ACT,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0186_CARE_Deepseek.md,186,CARE,Deepseek,Standard Algorithms,"INTLK,LOGIC,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0183_CARE_Deepseek.md,183,CARE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0190_CARE_Deepseek.md,190,CARE,Deepseek,Various Engineering Inputs,"ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0184_CARE_Deepseek.md,184,CARE,Deepseek,Standard Algorithms,"INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0185_CARE_Deepseek.md,185,CARE,Deepseek,Standard Algorithms,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0182_CARE_Deepseek.md,182,CARE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0181_CARE_Deepseek.md,181,CARE,Deepseek,Standard Algorithms,"INTLK,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0188_CARE_Deepseek.md,188,CARE,Deepseek,Standard Algorithms,"INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0189_CARE_Deepseek.md,189,CARE,Deepseek,Standard Algorithms,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Standard Algorithms/Answer0187_CARE_Deepseek.md,187,CARE,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0171_CARE_Deepseek.md,171,CARE,Deepseek,Sequential Control,"ACT,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0173_CARE_Deepseek.md,173,CARE,Deepseek,Sequential Control,"ACT,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0180_CARE_Deepseek.md,180,CARE,Deepseek,Standard Algorithms,"ACT,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0179_CARE_Deepseek.md,179,CARE,Deepseek,Sequential Control,"ACT,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0177_CARE_Deepseek.md,177,CARE,Deepseek,Sequential Control,"ACT,LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0175_CARE_Deepseek.md,175,CARE,Deepseek,Sequential Control,"FIC,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0174_CARE_Deepseek.md,174,CARE,Deepseek,Sequential Control,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0172_CARE_Deepseek.md,172,CARE,Deepseek,Sequential Control,"ACT,INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0176_CARE_Deepseek.md,176,CARE,Deepseek,Sequential Control,"ACT,FIC,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Sequential Control/Answer0178_CARE_Deepseek.md,178,CARE,Deepseek,Sequential Control,"ACT,FIC,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0109_CARE_Deepseek.md,109,CARE,Deepseek,Advanced Process Control,"ALM,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0104_CARE_Deepseek.md,104,CARE,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0106_CARE_Deepseek.md,106,CARE,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0105_CARE_Deepseek.md,105,CARE,Deepseek,Advanced Process Control,"ALM,LOGIC,RPT,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0110_CARE_Deepseek.md,110,CARE,Deepseek,Diagnostics and Communication,"ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0107_CARE_Deepseek.md,107,CARE,Deepseek,Advanced Process Control,"INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0103_CARE_Deepseek.md,103,CARE,Deepseek,Advanced Process Control,"PIC,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0101_CARE_Deepseek.md,101,CARE,Deepseek,Advanced Process Control,"LOGIC,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0102_CARE_Deepseek.md,102,CARE,Deepseek,Advanced Process Control,"ALM,LOGIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Advanced Process Control/Answer0108_CARE_Deepseek.md,108,CARE,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Interlocks/Answer0129_CARE_Deepseek.md,129,CARE,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Interlocks/Answer0123_CARE_Deepseek.md,123,CARE,Deepseek,Interlocks,"INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Interlocks/Answer0128_CARE_Deepseek.md,128,CARE,Deepseek,Interlocks,"ACT,FIC,INTLK,LOGIC,PIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Interlocks/Answer0125_CARE_Deepseek.md,125,CARE,Deepseek,Interlocks,"ACT,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/C-A-R-E(Context-Action-Result-Example)/Interlocks/Answer0124_CARE_Deepseek.md,124,CARE,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
